Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	81107413	+36665	991220	+1207	55600175	+170181	24516018	4888	242638	2965	962617214	2879729	334273557	North America
India	42983723	+3656	515745	+255	42420120	N/A	47858	8944	30640	368	776082445	553212	1402865413	Asia
Brazil	29249903	+55861	654147	+559	27556598	+85812	1039158	8318	135979	3041	63776166	296488	215105573	South America
France	23308880	+74818	139880	+107	22011415	+82398	1157585	1962	355769	2135	246629975	3764370	65516925	Europe
UK	19373884	N/A	162482	N/A	18138356	N/A	1073046	275	282884	2372	488292589	7129716	68486963	Europe
Russia	17191300	+51231	358911	+665	15043717	+148634	1788672	2300	117716	2458	273400000	1872091	146039921	Europe
Germany	16636606	+300270	125669	+154	12963800	+210100	3547137	2494	197501	1492	104701826	1242967	84235426	Europe
Turkey	14488373	+29492	96094	+140	14013492	+62245	378787	975	168728	1119	147556339	1718406	85868167	Asia
Italy	13214498	+54230	156493	+136	12086850	+85787	971155	545	219102	2595	191387173	3173286	60311992	Europe
Spain	11204125	+22615	101077	+85	10254207	+40140	848841	725	239480	2160	471036328	10068042	46785298	Europe
Argentina	8961595	+6137	127009	+54	8758109	+4659	76477	861	195265	2767	34692713	755922	45894592	South America
Iran	7113591	+6424	138572	+139	6761892	+7658	213127	3176	82905	1615	48036013	559833	85804173	Asia
Netherlands	6986628	+74518	21675	+41	5328403	+189367	1636550	159	406228	1260	21107399	1227262	17198766	Europe
Colombia	6074874	+719	139220	+31	5905559	+1194	30095	342	117283	2688	33454522	645881	51796689	South America
Indonesia	5847900	+21311	151413	+278	5296634	+38399	399853	2771	21006	544	88544248	318050	278396962	Asia
Poland	5788363	+13438	113186	+184	5160958	+8460	514219	557	153226	2996	34365607	909703	37776753	Europe
Mexico	5583773	+8165	320410	+244	4863376	N/A	399987	4798	42554	2442	15287662	116508	131215183	North America
Japan	5546271	+62747	25486	+205	4911283	+61591	609502	1322	44080	203	40484358	321754	125823946	Asia
S. Korea	5539650	+327532	9646	+206	969524	N/A	4560480	1113	107894	188	15804065	307810	51343545	Asia
Vietnam	5042036	N/A	41086	N/A	2855214	N/A	2145736	3878	51025	416	80763591	817327	98814340	Asia
Ukraine	4888473	+6112	106899	+115	N/A	N/A	N/A	177	112921	2469	19521252	450931	43290969	Europe
Malaysia	3741986	+30787	33567	+70	3393999	+26457	314420	389	113172	1015	51578408	1559926	33064640	Asia
Israel	3704116	+13135	10358	+36	3641612	+7410	52146	390	397182	1111	41373364	4436346	9326000	Asia
South Africa	3690291	+1868	99681	+25	3571758	+2220	18852	546	60928	1646	23314522	384928	60568502	Africa
Philippines	3669283	N/A	57182	N/A	3564630	N/A	47471	289	32750	510	28428336	253738	112038220	Asia
Czechia	3662117	+9034	39068	+14	3541089	+4503	81960	142	340901	3637	52980025	4931832	10742463	Europe
Belgium	3620262	+11140	30354	+41	3314520	+28930	275388	197	310097	2600	32027795	2743368	11674624	Europe
